SoC,R0_Ohms,Temperature_C
0.39060032051282,0.0150828534036761,34.92122
0.343493269230769,0.0151646337975611,35.05986
0.296379487179487,0.0153998557728647,35.20565
0.249274038461538,0.0158357438776261,35.21597
0.202159935897436,0.0165532008195689,34.9505
0.155061858974359,0.0177973401205743,35.19873
0.111822115384615,0.0196091620783352,35.32552
0.979527564102564,0.0214239469862884,35.36267
0.930312820512821,0.0191692825188444,35.1623
0.883013782051282,0.01797374786321,35.27424
0.835827243589744,0.0171254330612709,35.56456
0.788664743589744,0.0164981867618296,35.39831
0.741485897435898,0.0161241416213324,35.3095
0.694301923076923,0.0158904059236509,35.31916
0.647116025641025,0.015586485417434,35.50235
0.599935576923077,0.0154307338943659,35.53588
0.552742628205128,0.0154228151278524,35.13829
0.505536538461539,0.0153938165216811,35.17185
0.458359935897436,0.0153796040069028,35.30384
0.411170512820513,0.0153808768904986,35.27475
0.363990064102564,0.0154626955499909,35.14527
0.316795833333333,0.0155482680235365,35.37741
0.269622756410256,0.0157454557832392,35.3369
0.222452243589744,0.0162360478059441,35.04639
0.175272756410256,0.0169157937517742,35.35127
0.128104166666667,0.0182583571665388,35.30031
0.0809278846153848,0.0213203782234879,35.47145
0.984302564102564,0.0197829655676868,35.2877
0.932384935897436,0.018346560977129,35.30513
0.8827,0.0174965989821282,35.15747
0.834420512820513,0.0168238638374807,35.22715
0.787096794871795,0.0163088183039744,35.06907
0.739822435897436,0.0159882718706979,35.11091
0.692557371794872,0.0157878043086297,35.18421
0.645286858974359,0.0154932621417248,35.33538
0.598017628205128,0.0153866416816045,35.2144
0.550739423076923,0.015379678016026,35.19085
0.503466987179487,0.0153943335336829,34.99485
0.456185897435897,0.0153568987862188,34.94477
0.408904166666667,0.0153809371469023,35.08598
0.361612820512821,0.0154555545835267,34.75089
0.314354487179488,0.0155220970279146,34.91134
0.267091346153846,0.0158015226897107,35.22534
0.21982467948718,0.0162812310111878,35.21584
0.172544551282051,0.0171068734487345,35.16185
0.125489102564103,0.0185458170992319,34.92455
0.0838403846153846,0.0204771617457061,34.92122
0.997001602564103,0.0182230604234158,45.33744
0.948071794871795,0.0163046589607982,45.21357
0.901038461538461,0.015458383084984,45.17369
0.854015384615385,0.0149047767036873,45.29491
0.806980769230769,0.0145258599833854,45.20977
0.759948717948718,0.0142734375798631,45.21123
0.712920833333333,0.0141312910761648,45.41721
0.66588782051282,0.013881274119432,44.99443
0.618866987179487,0.013733106288762,45.32054
0.571840384615385,0.0137133337105252,45.12508
0.524816666666667,0.0137233850380202,45.18707
0.477786538461539,0.0137307407298838,44.93518
0.43075608974359,0.0137255583711876,44.97416
0.383727564102564,0.0137746948259499,45.46668
0.336703205128205,0.0138796657016978,45.17939
0.289676602564103,0.01399465174282,45.25101
0.242641987179487,0.01429960399712,45.35781
0.19561217948718,0.0147427654267788,45.41761
0.148582371794872,0.015503059361291,45.71404
0.101558333333333,0.0170536203703956,45.46794
1,0.0173147050422099,45.44116
0.960380128205128,0.0159728265111598,45.16364
0.911225320512821,0.0152696748659405,45.27116
0.86343141025641,0.0148072597832263,45.19987
0.816369551282051,0.0144640405613035,45.34173
0.7693,0.0142287433006995,45.3614
0.722242628205128,0.0141020568069851,45.297
0.675158653846154,0.0138399258109823,45.29972
0.628110897435898,0.0137571466305394,45.3934
0.58103108974359,0.0137493038642097,45.39071
0.533980128205128,0.0137282173677586,45.36065
0.486905128205128,0.0137558883211017,45.19472
0.439822435897436,0.0137812408726536,45.22011
0.39274326923077,0.0138283653603672,45.09421
0.345697756410257,0.0138635500652057,45.06151
0.298631730769231,0.0140445251179133,45.09323
0.251564743589743,0.0143503634157708,45.10811
0.204507692307693,0.0148587015516033,45.22692
0.157459935897436,0.0156885471846502,44.7073
0.11188108974359,0.0173551639941355,44.99312
0.980242628205128,0.0183047159277101,45.26699
0.931240705128205,0.0166387120244929,45.28661
0.884105448717949,0.0157685605642591,45.32691
0.836980448717949,0.0152274800195905,45.21866
0.78985608974359,0.0148508161143936,45.1703
0.742721474358975,0.014584247222911,45.12925
0.695589423076923,0.0144089335210719,45.28453
0.648459935897436,0.0141472613402023,45.12074
0.601335576923077,0.0140167067528804,45.02586
0.554208012820513,0.014027145313076,45.33082
0.507066346153846,0.0140174491577279,45.24251
0.459935576923077,0.0140174224693301,44.89404
0.412803846153846,0.014044324028917,45.01773
0.365660897435897,0.0140853891663015,45.04859
0.318518269230769,0.0141232326963192,45.03503
0.271386538461538,0.0143110181215967,45.26823
0.22424358974359,0.0146086689838479,45.44604
0.17711858974359,0.0151331501292243,45.44055
0.129977884615385,0.0159550319842065,45.44739
0.0828419871794872,0.0179022871006433,45.49517
0.985648076923077,0.017506920451766,45.21655
0.933891346153846,0.0163133849641927,45.10678
0.884440705128205,0.015631566917367,45.14851
0.836391987179487,0.0151487076849505,45.15707
0.789171794871795,0.0147553686602669,45.38085
0.741923717948718,0.0145408153707235,45.34459
0.694669230769231,0.0144035758845106,45.26395
0.647430769230769,0.0141154812912543,45.27232
0.600195192307692,0.0140507637243535,45.29016
0.552942628205128,0.0140532573603898,45.00684
0.505691025641026,0.0140451799370726,45.14236
0.458449038461539,0.0140517152710655,45.36684
